Ciutat,IncidènciaacumuladaPCR+,IncidènciaacumuladaPCR+14
Benisuera,3783,0
Benitachell/Poble Nou de Benitatxell (el),3818,314
Benlloch,12118,1049
Betxí,13723,1815
Biar,16114,3638
Bicorp,9262,1323
Bigastro,13258,1143
Bocairent,12675,1786
Bolbaite,15558,226
Bolulla,239,239
Bonrepòs i Mirambell,10914,829
Borriana/Burriana,11360,1748
Borriol,10987,907
Bufali,1282,0
Bugarra,9472,947
Burjassot,13827,1454
Busot,5398,617
Buñol,13613,1810
Bèlgida,6921,589
Bétera,15026,2166
Cabanes,7454,537
Calles,6478,0
Callosa d'En Sarrià,13679,1675
Callosa de Segura,13368,1019
Calp,11197,981
Campello (el),11510,1296
Campo de Mirra/Camp de Mirra (el),719,239
Camporrobles,12938,2671
Canals,13953,1598
Canet d'En Berenguer,9519,1433
Canet lo Roig,9319,887
Carcaixent,12066,1830
Carlet,16683,2013
Carrícola,7070,0
Casas Altas,4580,0
Casas Bajas,5521,0
Casinos,5899,683
Castalla,12551,2112
Castell de Cabres,0,0
Castell de Castells,3432,1144
Castell de Guadalest (el),0,0
Castellfort,1117,0
Castellnovo,6535,544
Castellonet de la Conquesta,5673,709
Castelló de Rugat,17885,3307
Castellón de la Plana/Castelló de la Plana,12196,1283
Castielfabib,2922,0
Castillo de Villamalefa,7920,0
Catadau,9950,2567
Catarroja,12489,1674
Catral,8204,629
Catí,5462,840
Caudete de las Fuentes,19831,2109
Caudiel,5311,910
Cañada,9768,2400
Cerdà,3927,0
Cervera del Maestre,6104,179
Chella,19296,2548
Chelva,14630,1502
Chera,13219,1066
Chert/Xert,9447,290
Cheste,13405,1202
Chilches/Xilxes,7074,1068
Chiva,11093,1459
Chodos/Xodos,943,0
Chulilla,5589,453
Chóvar,4513,347
Cinctorres,17000,2
Cirat,6310,485
Cocentaina,12039,1640
Cofrentes,13268,1513
Confrides,0,0
Corbera,10168,712
Cortes de Arenoso,2000,0
Cortes de Pallás,8300,129
Costur,2702,386
Cotes,9909,900
Coves de Vinromà (les),10741,1107
Cox,10953,880
Crevillent,9259,1052
Culla,5197,0
Cullera,11509,1909
Càlig,6833,968
Càrcer,30322,2517
Daimús,16270,1470
Daya Nueva,15926,634
Daya Vieja,5335,410
Dolores,19705,1965
Domeño,5200,1040
Dos Aguas,5810,305
Dénia,13087,1751
Elche/Elx,14358,1490
Elda,15759,1825
Eliana (l'),14508,1470
Emperador,5087,1017
Enguera,15218,2302
Eslida,6068,413
Espadilla,7246,0
Estivella,19153,3886
Estubeny,2400,0
Facheca,934,0
Famorca,2222,0
Fanzara,6227,1831
Faura,12721,2504
Favara,11341,2356
Figueroles,3824,1147
Finestrat,7489,732
Foios,12090,1529
Fondó de les Neus (el)/Hondón de las Nieves,3376,306
Font d'En Carròs (la),10269,1482
Font de la Figuera (la),15194,986
Fontanars dels Alforins,18665,1042
Forcall,32017,3508
Formentera del Segura,8481,890
Fortaleny,9117,2156
Fuente la Reina,3921,0
Fuenterrobles,10806,0
Fuentes de Ayódar,1123,0
Gaianes,8141,0
Gaibiel,9392,0
Gandia,13389,2099
Gata de Gorgos,9562,1313
Gavarda,6333,671
Geldo,5371,315
Genovés,14866,1547
Gestalgar,9306,364
Gilet,7931,1116
Godella,16381,2429
Godelleta,4101,697
Gorga,11203,829
Granja de la Costera (la),6440,1016
Granja de Rocamora,11964,1389
Guadasequies,8333,0
Guadassuar,14944,847
Guardamar de la Safor,2448,0
Guardamar del Segura,9754,1312
Gátova,4197,987
Herbés,2272,0
Higueras,4166,0
Higueruelas,3592,0
Hondón de los Frailes,5958,80
Ibi,16665,2435
Jacarilla,10110,2252
Jalance,17146,719
Jana (la),5473,1035
Jarafuel,8712,1560
Jijona/Xixona,13126,1482
Jávea/Xàbia,11886,1763
Jérica,11032,898
Llanera de Ranes,14422,2005
Llaurí,6283,1858
Llocnou d'En Fenollet,12445,1419
Llocnou de la Corona,806,0
Llocnou de Sant Jeroni,7400,541
Llombai,6370,1206
Llosa (la),12321,305
Llosa de Ranes (la),15678,1098
Llutxent,22269,2149
Llíber,2891,361
Llíria,12056,1188
Lorcha/Orxa (l'),7560,1374
Loriguilla,6437,1523
Losa del Obispo,8316,594
Lucena del Cid,9581,1064
Ludiente,1342,0
Macastre,3076,615
Manises,14532,2221
Manuel,11453,697
Marines,5790,1028
Masalavés,6024,496
Massalfassar,9863,1174
Massamagrell,13939,1750
Massanassa,12972,1226
Mata de Morella (la),14375,0
Matet,10843,0
Meliana,12479,2324
Millares,5135,604
Millena,5000,1
Miramar,11471,1713
Mislata,12836,2111
Mogente/Moixent,20617,1230
Moncada,13777,1466
Moncofa,8960,1297
Monforte del Cid,12904,886
Montanejos,17021,886
Montaverner,11131,305
Montesa,19047,779
Montesinos (Los),4900,612
Montitxelvo/Montichelvo,4786,683
Montroy,10216,1285
Montserrat,12701,1685
Montán,8152,0
Monóvar/Monòver,16139,2194
Morella,14321,2110
Murla,2761,986
Muro de Alcoy,13290,1878
Museros,12992,1167
Mutxamel,11733,1633
Navajas,5000,33
Navarrés,18009,1464
Novelda,13499,1518
Novelé/Novetlè,10501,1283
Nucia (la),11787,1712
Nules,14694,2500
Náquera,4683,695
Oliva,13772,2029
Olleria (l'),16478,1093
Olocau,3993,875
Olocau del Rey,27500,0
Onda,16693,1257
Ondara,12323,2727
Onil,15460,2394
Ontinyent,15947,1859
Orba,21774,4345
Orihuela,10955,996
Oropesa del Mar/Orpesa,12453,813
Orxeta,4336,255
Otos,6398,236
Paiporta,12302,2149
Palanques,0,0
Palma de Gandía,6729,819
Palmera,9332,1866
Palomar (el),5291,352
Parcent,4653,723
Paterna,11490,1321
Pavías,2941,0
Pedralba,8706,1243
Pedreguer,11597,2309
Pego,11329,2427
Penàguila,17472,743
Peníscola/Peñíscola,13575,1600
Petrer,17090,2003
Petrés,9809,3503
Picanya,12019,1895
Picassent,14424,2041
Pilar de la Horadada,10372,836
Piles,12445,1605
Pina de Montalgrao,8181,0
Pinet,5095,0
Pinós (el)/Pinoso,15887,2915
Planes,8357,879
Pobla de Benifassà (la),4020,0
Pobla de Farnals (la),10642,2128
Pobla de Vallbona (la),11255,1230
Pobla del Duc (la),8747,556
Pobla Llarga (la),13724,1909
Pobla Tornesa (la),5033,57
Poblets (els),3021,810
Polinyà de Xúquer,7031,639
Polop,8037,1086
Portell de Morella,3191,0
Potríes,13962,1981
Puebla de Arenoso,4605,0
Puebla de San Miguel,0,0
Puig,15049,2041
Puçol,12519,1367
Quart de les Valls,12207,1171
Quart de Poblet,11072,2030
Quartell,20000,8
Quatretonda,9037,862
Quatretondeta,5084,847
Quesa,9502,1055
Rafal,12167,1603
Rafelbuñol/Rafelbunyol,12121,1464
Rafelcofer,11439,1254
Rafelguaraf,15541,849
Real,8744,770
Real de Gandía,11220,1501
Redován,10610,1614
Relleu,3832,174
Requena,15403,1876
Riba-roja de Túria,11229,2165
Ribesalbes,8856,1977
Riola,7262,1061
Rocafort,10158,1558
Rojales,8523,521
Romana (la),8346,842
Rossell,7894,1425
Rotglà i Corberà,10116,1163
Rugat,4597,0
Ràfol d'Almúnia (El),4938,462
Ráfol de Salem,6108,1357
Rótova,12374,232
Sacañet,0,0
Sagra,3990,938
Sagunto/Sagunt,13125,1945
Salem,8373,1913
Salinas,10802,925
Salzadella (la),8142,1428
San Antonio de Benagéber,6256,710
San Fulgencio,5550,607
San Isidro,5278,380
San Miguel de Salinas,13480,1140
San Rafael del Río,13733,1072
San Vicente del Raspeig/Sant Vicent del Raspeig,12777,1775
Sanet y Negrals,3478,1014
Sant Joan d'Alacant,12086,1625
Sant Joan de l'Ènova,5719,197
Sant Joan de Moró,6002,556
Sant Jordi/San Jorge,4444,909
Sant Mateu,12448,2920
Santa Magdalena de Pulpis,8355,397
Santa Pola,12650,1498
Sarratella,1052,0
Sax,17070,2312
Sedaví,15320,1424
Segart,609,0
Segorbe,13839,1736
Sella,6585,346
Sellent,8854,0
Sempere,0,0
Senija,1886,857
Senyera,9523,352
Serra,4612,345
Sierra Engarcerán,5060,506
Siete Aguas,6729,86
Silla,11971,1310
Simat de la Valldigna,7006,727
Sinarcas,7058,723
Sollana,6863,983
Soneja,12362,618
Sot de Chera,7458,0
Sot de Ferrer,9290,489
Sueca,13393,2394
Sueras/Suera,13167,572
Sumacàrcer,6472,455
Tales,7365,374
Tavernes Blanques,13204,1929
Tavernes de la Valldigna,16297,2132
Teresa,7692,1214
Teresa de Cofrentes,8723,646
Terrateig,781,0
Teulada,13353,1418
Tibi,7641,601
Titaguas,19383,881
Todolella,5673,709
Toga,11458,0
Tollos,2857,0
Tormos,2830,1257
Toro (El),5394,414
Torralba del Pinar,0,0
Torre d'En Besora (la),10179,598
Torre d'en Doménec (la),1234,0
Torrebaja,5721,0
Torreblanca,12845,1112
Torrechiva,6741,0
Torrella,2068,0
Torremanzanas/Torre de les Maçanes (la),4088,471
Torrent,12529,1529
Torres Torres,9267,1345
Torrevieja,9749,993
Torás,2155,0
Tous,9557,621
Traiguera,23847,3365
Turís,13626,2276
Tuéjar,10290,527
Tàrbena,4333,321
Tírig,5238,476
Useras/Useres (les),3023,208
Utiel,16547,2321
Valencia,14846,1713
Vall d'Alba,21393,3046
Vall d'Alcalà (la),3750,0
Vall d'Ebo (la),3211,0
Vall d'Uixó (la),12840,1814
Vall de Almonacid,4562,1520
Vall de Gallinera,2466,759
Vall de Laguar (la),5562,1571
Vallada,18055,1388
Vallanca,11278,0
Vallat,1960,0
Vallibona,4545,0
Vallés,0,0
Venta del Moro,12604,1585
Verger (el),17413,3121
Vila-real,13235,1479
Vilafamés,4702,328
Vilamarxant,9685,1223
Vilanova d'Alcolea,4920,878
Vilar de Canes,4733,0
Vilavella (la),9856,5
Villafranca del Cid/Vilafranca,9831,819
Villahermosa del Río,16942,206
Villajoyosa/Vila Joiosa (la),12792,1286
Villalonga,12471,961
Villamalur,1960,0
Villanueva de Castellón,16033,1445
Villanueva de Viver,10000,67
Villar del Arzobispo,10605,1527
Villargordo del Cabriel,14261,687
Villena,16152,1742
Villores,2380,0
Vinalesa,9466,1641
Vinaròs,13911,1595
Vistabella del Maestrazgo,11411,1501
Viver,19465,1526
Xaló,4149,592
Xeraco,9510,1486
Xeresa,9057,1365
Xirivella,13974,1990
Xàtiva,13138,1957
Yesa (La),3619,0
Yátova,3799,625
Zarra,6358,578
Zorita del Maestrazgo,0,0
Zucaina,8024,1234
Ènova (l'),11751,776
