Ciutat,Incidència acumulada PCR+,Incidència acumulada PCR+14
Benicolet,17944,696
Benicull de Xúquer,9064,954
Benidoleig,5102,371
Benidorm,19544,3037
Benifairó de la Valldigna,13286,2695
Benifairó de les Valls,12426,2394
Benifaió,21369,2352
Benifallim,5769,0
Benifato,5882,1470
Beniflá,217,0
Benigembla,7900,1354
Benigánim,32514,5468
Benijófar,12146,1427
Benilloba,26170,8126
Benillup,8000,1000
Benimantell,21931,4828
Benimarfull,7323,2020
Benimassot,6796,970
Benimeli,7226,932
Benimodo,7042,1100
Benimuslem,5997,1049
Beniparrell,15384,3126
Benirredrà,31704,6430
Benisanó,14011,1178
Benissa,20313,4854
Benissoda,10185,925
Benisuera,10810,6486
Benitachell/Poble Nou de Benitatxell (el),5974,1707
Benlloch,16125,3053
Betxí,21626,4645
Biar,27606,7523
Bicorp,14933,1890
Bigastro,17050,2402
Bocairent,16996,3114
Bolbaite,20694,3549
Bolulla,4556,479
Bonrepòs i Mirambell,14526,2140
Borriana/Burriana,18834,5543
Borriol,18565,5688
Bufali,2564,1282
Bugarra,11366,947
Burjassot,18425,2580
Busot,7382,1268
Buñol,19046,2526
Bèlgida,9867,2356
Bétera,20212,2889
Cabanes,10107,1914
Calles,7887,1408
Callosa d'En Sarrià,19329,4147
Callosa de Segura,17138,2614
Calp,16492,3862
Campello (el),17684,4161
Campo de Mirra/Camp de Mirra (el),479,0
Camporrobles,16110,1335
Canals,20605,4490
Canet d'En Berenguer,11603,975
Canet lo Roig,10798,739
Carcaixent,17018,3611
Carlet,20343,2204
Carrícola,8080,0
Casas Altas,5343,763
Casas Bajas,6748,1226
Casinos,8237,1798
Castalla,19137,4722
Castell de Cabres,0,0
Castell de Castells,7322,2974
Castell de Guadalest (el),0,0
Castellfort,1675,558
Castellnovo,8169,1416
Castellonet de la Conquesta,5673,0
Castelló de Rugat,28546,7745
Castellón de la Plana/Castelló de la Plana,18533,4556
Castielfabib,3246,324
Castillo de Villamalefa,13861,4950
Catadau,13552,1747
Catarroja,16582,2422
Catral,10586,1629
Catí,10364,3501
Caudete de las Fuentes,22644,1969
Caudiel,6676,758
Cañada,19619,6870
Cerdà,3927,0
Cervera del Maestre,7360,1256
Chella,27791,4530
Chelva,26714,8360
Chera,17270,2132
Chert/Xert,11191,1308
Cheste,20343,5472
Chilches/Xilxes,9358,958
Chiva,15369,2348
Chodos/Xodos,943,0
Chulilla,7401,1208
Chóvar,7291,2430
Cinctorres,23250,5250
Cirat,7281,970
Cocentaina,16979,3654
Cofrentes,17809,1780
Confrides,0,0
Corbera,12240,1457
Cortes de Arenoso,3333,666
Cortes de Pallás,10894,1686
Costur,4247,1544
Cotes,12312,1801
Coves de Vinromà (les),14839,2436
Cox,13606,1841
Crevillent,12452,1862
Culla,5405,207
Cullera,16402,3245
Càlig,10045,2192
Càrcer,39299,6020
Daimús,21307,3754
Daya Nueva,17022,634
Daya Vieja,6155,410
Dolores,25561,4249
Domeño,6240,594
Dos Aguas,8562,2752
Dénia,17986,3252
Elche/Elx,19250,3177
Elda,20824,3728
Eliana (l'),20852,2750
Emperador,8430,436
Enguera,20745,3202
Eslida,10068,3034
Espadilla,10144,2898
Estivella,26231,3886
Estubeny,4800,0
Facheca,4672,1869
Famorca,4444,2222
Fanzara,10256,3296
Faura,18378,2814
Favara,15135,3115
Figueroles,5353,1338
Finestrat,10291,1971
Foios,19149,4052
Fondó de les Neus (el)/Hondón de las Nieves,5295,1266
Font d'En Carròs (la),14902,3388
Font de la Figuera (la),22002,5525
Fontanars dels Alforins,21063,1668
Forcall,40131,5263
Formentera del Segura,11199,2085
Fortaleny,11078,490
Fuente la Reina,5882,0
Fuenterrobles,15706,1152
Fuentes de Ayódar,1123,0
Gaianes,10020,1461
Gaibiel,13259,1104
Gandia,19661,4505
Gata de Gorgos,16530,5109
Gavarda,10748,2495
Geldo,8372,2685
Genovés,21706,4283
Gestalgar,12043,1824
Gilet,9488,881
Godella,22405,3046
Godelleta,6668,2120
Gorga,14107,2489
Granja de la Costera (la),7457,1016
Granja de Rocamora,14511,1698
Guadasequies,12061,1754
Guadassuar,18146,2507
Guardamar de la Safor,2448,0
Guardamar del Segura,12145,1703
Gátova,7901,2962
Herbés,2272,0
Higueras,4166,0
Higueruelas,5389,998
Hondón de los Frailes,7407,1127
Ibi,24100,5236
Jacarilla,15115,3053
Jalance,19064,239
Jana (la),9615,2958
Jarafuel,12483,2340
Jijona/Xixona,19435,3939
Jávea/Xàbia,18057,4504
Jérica,12315,769
Llanera de Ranes,20725,3342
Llaurí,9292,973
Llocnou d'En Fenollet,18013,3384
Llocnou de la Corona,806,0
Llocnou de Sant Jeroni,10649,2707
Llombai,7538,565
Llosa (la),13441,712
Llosa de Ranes (la),21801,4475
Llutxent,30309,5460
Llíber,4096,843
Llíria,15565,1409
Lorcha/Orxa (l'),8247,171
Loriguilla,9533,1572
Losa del Obispo,8712,198
Lucena del Cid,17566,6539
Ludiente,4697,2013
Macastre,4538,769
Manises,18969,2282
Manuel,16009,3407
Marines,7467,1244
Masalavés,8633,2236
Massalfassar,13933,1526
Massamagrell,18072,2827
Massanassa,17358,2688
Mata de Morella (la),29375,11250
Matet,14457,2409
Meliana,17101,2160
Millares,5740,302
Millena,5000,0
Miramar,17430,4059
Mislata,16568,1969
Mogente/Moixent,27606,4759
Moncada,17356,1580
Moncofa,13046,3339
Monforte del Cid,19086,4972
Montanejos,25000,4964
Montaverner,16085,3486
Montesa,24675,4069
Montesinos (Los),6184,987
Montitxelvo/Montichelvo,7863,2222
Montroy,13328,2165
Montserrat,18905,4726
Montán,15489,6793
Monóvar/Monòver,20995,3316
Morella,25124,6125
Murla,5522,1775
Muro de Alcoy,20193,5013
Museros,18192,2319
Mutxamel,17640,4219
Navajas,6944,972
Navarrés,25299,4760
Novelda,19552,4817
Novelé/Novetlè,13885,2450
Nucia (la),16698,3171
Nules,24675,7305
Náquera,7119,1406
Oliva,20908,5213
Olleria (l'),23677,4591
Olocau,5634,820
Olocau del Rey,30000,2500
Onda,24343,5828
Ondara,21127,6133
Onil,22815,5171
Ontinyent,20785,3386
Orba,33422,8422
Orihuela,14006,2176
Oropesa del Mar/Orpesa,20494,5214
Orxeta,8035,2678
Otos,11137,4265
Paiporta,19106,5050
Palanques,2941,0
Palma de Gandía,9596,2106
Palmera,14341,3831
Palomar (el),9523,2998
Parcent,5584,723
Paterna,15368,2075
Pavías,2941,0
Pedralba,13184,3127
Pedreguer,17256,3705
Pego,17418,4263
Penàguila,23791,5576
Peníscola/Peñíscola,20343,5219
Petrer,23471,5020
Petrés,11711,1301
Picanya,18223,4506
Picassent,21140,4340
Pilar de la Horadada,12086,1118
Piles,17737,3941
Pina de Montalgrao,15454,4545
Pinet,5732,636
Pinós (el)/Pinoso,22566,4560
Planes,13196,1759
Pobla de Benifassà (la),6532,1507
Pobla de Farnals (la),14259,2066
Pobla de Vallbona (la),15214,2228
Pobla del Duc (la),12326,2624
Pobla Llarga (la),22439,5705
Pobla Tornesa (la),8910,3052
Poblets (els),4200,884
Polinyà de Xúquer,9188,1518
Polop,10406,1579
Portell de Morella,5319,1063
Potríes,20283,4622
Puebla de Arenoso,11842,3289
Puebla de San Miguel,0,0
Puig,19236,2707
Puçol,16137,1398
Quart de les Valls,16015,2734
Quart de Poblet,14687,1979
Quartell,24712,2779
Quatretonda,15622,5585
Quatretondeta,6779,847
Quesa,16742,5429
Rafal,16055,2635
Rafelbuñol/Rafelbunyol,15815,1934
Rafelcofer,18745,5682
Rafelguaraf,21486,4925
Real,12415,2718
Real de Gandía,15922,2805
Redován,14118,2359
Relleu,6358,958
Requena,21347,4444
Riba-roja de Túria,15346,2038
Ribesalbes,13155,2149
Riola,8882,1284
Rocafort,12961,1654
Rojales,10197,1079
Romana (la),11035,2046
Rossell,10526,1754
Rotglà i Corberà,17636,4565
Rugat,5172,574
Ràfol d'Almúnia (El),6172,1080
Ráfol de Salem,8144,1809
Rótova,14771,2088
Sacañet,0,0
Sagra,6338,2112
Sagunto/Sagunt,16399,1642
Salem,11244,2153
Salinas,14938,2530
Salzadella (la),10142,1714
San Antonio de Benagéber,8808,1550
San Fulgencio,6888,842
San Isidro,7322,951
San Miguel de Salinas,15792,1694
San Rafael del Río,20386,4506
San Vicente del Raspeig/Sant Vicent del Raspeig,19500,5151
Sanet y Negrals,5797,1594
Sant Joan d'Alacant,18036,4206
Sant Joan de l'Ènova,7692,1577
Sant Joan de Moró,9746,2784
Sant Jordi/San Jorge,11414,3434
Sant Mateu,23411,8709
Santa Magdalena de Pulpis,13395,3448
Santa Pola,17043,3089
Sarratella,1052,0
Sax,23582,4270
Sedaví,19863,2550
Segart,609,0
Segorbe,18643,2462
Sella,11958,1906
Sellent,10677,781
Sempere,0,0
Senija,2744,686
Senyera,13844,3791
Serra,6181,847
Sierra Engarcerán,6376,1315
Siete Aguas,8541,1035
Silla,15656,2363
Simat de la Valldigna,10342,2305
Sinarcas,13122,3710
Sollana,12415,4036
Soneja,15796,2472
Sot de Chera,12154,4696
Sot de Ferrer,12224,1711
Sueca,16117,1588
Sueras/Suera,18129,3435
Sumacàrcer,9115,1367
Tales,13982,4868
Tavernes Blanques,18495,3371
Tavernes de la Valldigna,22933,4213
Teresa,9311,404
Teresa de Cofrentes,10016,969
Terrateig,781,0
Teulada,21040,5940
Tibi,10950,2767
Titaguas,29735,4625
Todolella,9219,2836
Toga,11458,0
Tollos,5714,0
Tormos,4402,628
Toro (El),7468,829
Torralba del Pinar,0,0
Torre d'En Besora (la),10778,598
Torre d'en Doménec (la),1851,617
Torrebaja,10945,1492
Torreblanca,17473,3713
Torrechiva,7865,1123
Torrella,2068,0
Torremanzanas/Torre de les Maçanes (la),6132,1257
Torrent,17687,3686
Torres Torres,10313,298
Torrevieja,12020,1511
Torás,3448,0
Tous,12509,2331
Traiguera,35259,7754
Turís,20336,4329
Tuéjar,13808,2286
Tàrbena,7544,2889
Tírig,8095,1428
Useras/Useres (les),4588,1251
Utiel,24279,5576
Valencia,18995,2336
Vall d'Alba,35854,11519
Vall d'Alcalà (la),5000,1250
Vall d'Ebo (la),3669,458
Vall d'Uixó (la),21542,6726
Vall de Almonacid,8745,1901
Vall de Gallinera,3984,1518
Vall de Laguar (la),14026,7738
Vallada,22545,3133
Vallanca,13533,1503
Vallat,1960,0
Vallibona,4545,0
Vallés,1948,649
Venta del Moro,15108,2003
Verger (el),28010,7899
Vila-real,21326,5723
Vilafamés,6560,1257
Vilamarxant,13557,2022
Vilanova d'Alcolea,9138,3514
Vilar de Canes,5325,0
Vilavella (la),15680,4480
Villafranca del Cid/Vilafranca,18525,6781
Villahermosa del Río,19628,2685
Villajoyosa/Vila Joiosa (la),17798,2948
Villalonga,17665,3981
Villamalur,1960,0
Villanueva de Castellón,23504,5542
Villanueva de Viver,10000,0
Villar del Arzobispo,17138,2884
Villargordo del Cabriel,19759,4639
Villena,21165,3814
Villores,2380,0
Vinalesa,15298,4601
Vinaròs,20095,4945
Vistabella del Maestrazgo,16216,1201
Viver,27480,3307
Xaló,6032,1290
Xeraco,14860,4283
Xeresa,13154,2776
Xirivella,20621,4719
Xàtiva,19346,4243
Yesa (La),4524,0
Yátova,5435,962
Zarra,8670,1734
Zorita del Maestrazgo,6306,5405
Zucaina,12345,3086
Ènova (l'),14523,1995
